t=2026-05-14T12:53:10+0800 lvl=info msg="no configuration paths supplied"
t=2026-05-14T12:53:10+0800 lvl=info msg="using configuration at default config path" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-05-14T12:53:10+0800 lvl=info msg="open config file" path=C:\\Users\\Jianl\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-14T12:53:10+0800 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-05-14T12:53:10+0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-05-14T12:53:11+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T12:53:11+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T13:09:47+0800 lvl=info msg="join connections" obj=join id=5d1870a9b482 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:47+0800 lvl=info msg="join connections" obj=join id=04f5c061ee0d l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:47+0800 lvl=info msg="join connections" obj=join id=c431d89b0e00 l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:48+0800 lvl=info msg="join connections" obj=join id=bb0e3d0c7efa l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:09:48+0800 lvl=info msg="join connections" obj=join id=454cfe1bff5b l=127.0.0.1:5000 r=49.196.44.137:14186
t=2026-05-14T13:10:03+0800 lvl=info msg="join connections" obj=join id=eda91a23d15b l=127.0.0.1:5000 r=49.196.44.137:14180
t=2026-05-14T13:35:38+0800 lvl=info msg="join connections" obj=join id=9cc0d46c4629 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:38+0800 lvl=info msg="join connections" obj=join id=160f8be73398 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:38+0800 lvl=info msg="join connections" obj=join id=222038ed92bc l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:38+0800 lvl=info msg="join connections" obj=join id=6dcc66e05d1e l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:38+0800 lvl=info msg="join connections" obj=join id=b3a4189b37e0 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:38+0800 lvl=info msg="join connections" obj=join id=db26084cc86a l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:38+0800 lvl=info msg="join connections" obj=join id=003f74680802 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:39+0800 lvl=info msg="join connections" obj=join id=3dcc2a9e8d2f l=127.0.0.1:5000 r=49.196.44.137:15012
t=2026-05-14T13:35:41+0800 lvl=info msg="join connections" obj=join id=02925164a103 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:43+0800 lvl=info msg="join connections" obj=join id=598c45548d71 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:43+0800 lvl=info msg="join connections" obj=join id=51bd108ecbb0 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:43+0800 lvl=info msg="join connections" obj=join id=6837f037160a l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:43+0800 lvl=info msg="join connections" obj=join id=758bcb4e4e07 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:43+0800 lvl=info msg="join connections" obj=join id=2fcb12e8914c l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:44+0800 lvl=info msg="join connections" obj=join id=260b31722474 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:44+0800 lvl=info msg="join connections" obj=join id=41afc105f861 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:44+0800 lvl=info msg="join connections" obj=join id=4e444d703d60 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:44+0800 lvl=info msg="join connections" obj=join id=cd97325c07df l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:44+0800 lvl=info msg="join connections" obj=join id=261f1930acb1 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:44+0800 lvl=info msg="join connections" obj=join id=54a5c1e91c74 l=127.0.0.1:5000 r=49.196.44.137:15012
t=2026-05-14T13:35:44+0800 lvl=info msg="join connections" obj=join id=1ebeba34ab8c l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:46+0800 lvl=info msg="join connections" obj=join id=37d1e39bd85c l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:46+0800 lvl=info msg="join connections" obj=join id=2d6db3e985ba l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:46+0800 lvl=info msg="join connections" obj=join id=9abd36d28a22 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:46+0800 lvl=info msg="join connections" obj=join id=0b81d7452d43 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:46+0800 lvl=info msg="join connections" obj=join id=673fbfda89ab l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:47+0800 lvl=info msg="join connections" obj=join id=bb3b392cdb2f l=127.0.0.1:5000 r=49.196.44.137:15012
t=2026-05-14T13:35:50+0800 lvl=info msg="join connections" obj=join id=4dd8a8299bb6 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:50+0800 lvl=info msg="join connections" obj=join id=f0414a344532 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:50+0800 lvl=info msg="join connections" obj=join id=f83da305496a l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:50+0800 lvl=info msg="join connections" obj=join id=a8a017fb4c45 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:50+0800 lvl=info msg="join connections" obj=join id=8dca448ff602 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:50+0800 lvl=info msg="join connections" obj=join id=6e9e462a187c l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:51+0800 lvl=info msg="join connections" obj=join id=1f2c759f5d9d l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:51+0800 lvl=info msg="join connections" obj=join id=fb3537686425 l=127.0.0.1:5000 r=49.196.44.137:15012
t=2026-05-14T13:35:53+0800 lvl=info msg="join connections" obj=join id=4de13a2f874a l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:56+0800 lvl=info msg="join connections" obj=join id=f91b3bbb569f l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:35:58+0800 lvl=info msg="join connections" obj=join id=7d823f984a2b l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:01+0800 lvl=info msg="join connections" obj=join id=497ab9a0ed87 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:01+0800 lvl=info msg="join connections" obj=join id=622ccb6e3125 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:03+0800 lvl=info msg="join connections" obj=join id=3a66ad64737f l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:06+0800 lvl=info msg="join connections" obj=join id=466fcdfc7db1 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:06+0800 lvl=info msg="join connections" obj=join id=5b4746e8cb69 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:08+0800 lvl=info msg="join connections" obj=join id=ad5dab326cee l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:11+0800 lvl=info msg="join connections" obj=join id=d7f0bc56868a l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:13+0800 lvl=info msg="join connections" obj=join id=6ecf437b6b07 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:16+0800 lvl=info msg="join connections" obj=join id=d998f552cbe2 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:16+0800 lvl=info msg="join connections" obj=join id=20233126d091 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:18+0800 lvl=info msg="join connections" obj=join id=3efa7163f511 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:21+0800 lvl=info msg="join connections" obj=join id=24f6f9aca755 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:21+0800 lvl=info msg="join connections" obj=join id=72c1716cd123 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:23+0800 lvl=info msg="join connections" obj=join id=1a7351d473a8 l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:36:26+0800 lvl=info msg="join connections" obj=join id=1fd41362c10e l=127.0.0.1:5000 r=49.196.44.137:15011
t=2026-05-14T13:44:29+0800 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=f6c811078e16 err="read tcp 10.133.7.56:65174->3.24.228.21:443: wsarecv: An established connection was aborted by the software in your host machine."
t=2026-05-14T13:44:29+0800 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-05-14T13:44:30+0800 lvl=eror msg="failed to reconnect session" obj=tunnels.session err="failed to dial ngrok server with address \"connect.ngrok-agent.com:443\": dial tcp: lookup connect.ngrok-agent.com: no such host"
t=2026-05-14T13:44:33+0800 lvl=info msg="client session established" obj=tunnels.session
t=2026-05-14T13:44:33+0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-05-14T13:44:46+0800 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=073599c8bec6 clientid=53ce9db5ea235ec773d60937a2f810d7
t=2026-05-14T13:45:27+0800 lvl=info msg="join connections" obj=join id=7c61912cd5cc l=127.0.0.1:5000 r=49.196.44.137:14256
t=2026-05-14T13:45:27+0800 lvl=info msg="join connections" obj=join id=8cb365b73737 l=127.0.0.1:5000 r=49.196.44.137:14256
t=2026-05-14T13:45:27+0800 lvl=info msg="join connections" obj=join id=21eb61b0ad93 l=127.0.0.1:5000 r=49.196.44.137:14256
t=2026-05-14T13:45:30+0800 lvl=info msg="join connections" obj=join id=3725b5882207 l=127.0.0.1:5000 r=49.196.44.137:14256
t=2026-05-14T13:45:35+0800 lvl=info msg="join connections" obj=join id=a904fd9e19cf l=127.0.0.1:5000 r=49.196.44.137:14258
t=2026-05-14T13:45:37+0800 lvl=info msg="join connections" obj=join id=e5977d17a544 l=127.0.0.1:5000 r=49.196.44.137:14258
t=2026-05-14T13:45:39+0800 lvl=info msg="join connections" obj=join id=e796a9a78d90 l=127.0.0.1:5000 r=49.196.44.137:14258
t=2026-05-14T13:45:42+0800 lvl=info msg="join connections" obj=join id=0870e6c70fc1 l=127.0.0.1:5000 r=49.196.44.137:14258
t=2026-05-14T13:45:42+0800 lvl=info msg="join connections" obj=join id=d7720165095c l=127.0.0.1:5000 r=49.196.44.137:14258
